ID,LATITUDE,LONGITUDE
1,27.25,-11.75
2,27.75,-11.75
3,28.25,-11.75
4,27.25,-11.25
5,27.75,-11.25
6,28.25,-11.25
7,27.25,-10.75
8,27.75,-10.75
9,28.25,-10.75
10,28.75,-10.75
11,27.25,-10.25
12,27.75,-10.25
13,28.25,-10.25
14,28.75,-10.25
15,27.25,-9.75
16,27.75,-9.75
17,28.25,-9.75
18,28.75,-9.75
19,29.25,-9.75
20,27.25,-9.25
21,27.75,-9.25
22,28.25,-9.25
23,28.75,-9.25
24,29.25,-9.25
25,29.75,-9.25
26,30.25,-9.25
27,30.75,-9.25
28,31.25,-9.25
29,31.75,-9.25
30,51.75,-9.25
31,52.25,-9.25
32,53.75,-9.25
33,54.25,-9.25
34,27.25,-8.75
35,27.75,-8.75
36,28.25,-8.75
37,28.75,-8.75
38,29.25,-8.75
39,29.75,-8.75
40,30.25,-8.75
41,30.75,-8.75
42,31.25,-8.75
43,31.75,-8.75
44,32.25,-8.75
45,32.75,-8.75
46,38.75,-8.75
47,39.25,-8.75
48,43.25,-8.75
49,51.75,-8.75
50,52.25,-8.75
51,52.75,-8.75
52,53.25,-8.75
53,53.75,-8.75
54,54.25,-8.75
55,27.25,-8.25
56,27.75,-8.25
57,28.25,-8.25
58,28.75,-8.25
59,29.25,-8.25
60,29.75,-8.25
61,30.25,-8.25
62,30.75,-8.25
63,31.25,-8.25
64,31.75,-8.25
65,32.25,-8.25
66,32.75,-8.25
67,33.25,-8.25
68,37.75,-8.25
69,38.25,-8.25
70,38.75,-8.25
71,39.25,-8.25
72,39.75,-8.25
73,40.25,-8.25
74,40.75,-8.25
75,41.25,-8.25
76,41.75,-8.25
77,42.25,-8.25
78,42.75,-8.25
79,43.25,-8.25
80,52.25,-8.25
81,52.75,-8.25
82,53.25,-8.25
83,53.75,-8.25
84,54.25,-8.25
85,27.75,-7.75
86,28.25,-7.75
87,28.75,-7.75
88,29.25,-7.75
89,29.75,-7.75
90,30.25,-7.75
91,30.75,-7.75
92,31.25,-7.75
93,31.75,-7.75
94,32.25,-7.75
95,32.75,-7.75
96,33.25,-7.75
97,37.25,-7.75
98,37.75,-7.75
99,38.25,-7.75
100,38.75,-7.75
101,39.25,-7.75
102,39.75,-7.75
103,40.25,-7.75
104,40.75,-7.75
105,41.25,-7.75
106,41.75,-7.75
107,42.25,-7.75
108,42.75,-7.75
109,43.25,-7.75
110,43.75,-7.75
111,52.25,-7.75
112,52.75,-7.75
113,53.25,-7.75
114,53.75,-7.75
115,54.25,-7.75
116,54.75,-7.75
117,27.75,-7.25
118,28.25,-7.25
119,28.75,-7.25
120,29.25,-7.25
121,29.75,-7.25
122,30.25,-7.25
123,30.75,-7.25
124,31.25,-7.25
125,31.75,-7.25
126,32.25,-7.25
127,32.75,-7.25
128,33.25,-7.25
129,33.75,-7.25
130,37.75,-7.25
131,38.25,-7.25
132,38.75,-7.25
133,39.25,-7.25
134,39.75,-7.25
135,40.25,-7.25
136,40.75,-7.25
137,41.25,-7.25
138,41.75,-7.25
139,42.25,-7.25
140,42.75,-7.25
141,43.25,-7.25
142,52.75,-7.25
143,53.25,-7.25
144,53.75,-7.25
145,54.25,-7.25
146,54.75,-7.25
147,55.25,-7.25
148,27.75,-6.75
149,28.25,-6.75
150,28.75,-6.75
151,29.25,-6.75
152,29.75,-6.75
153,30.25,-6.75
154,30.75,-6.75
155,31.25,-6.75
156,31.75,-6.75
157,32.25,-6.75
158,32.75,-6.75
159,33.25,-6.75
160,33.75,-6.75
161,37.75,-6.75
162,38.25,-6.75
163,38.75,-6.75
164,39.25,-6.75
165,39.75,-6.75
166,40.25,-6.75
167,40.75,-6.75
168,41.25,-6.75
169,41.75,-6.75
170,42.25,-6.75
171,42.75,-6.75
172,43.25,-6.75
173,52.75,-6.75
174,53.25,-6.75
175,53.75,-6.75
176,54.25,-6.75
177,54.75,-6.75
178,28.25,-6.25
179,28.75,-6.25
180,29.25,-6.25
181,29.75,-6.25
182,30.25,-6.25
183,30.75,-6.25
184,31.25,-6.25
185,31.75,-6.25
186,32.25,-6.25
187,32.75,-6.25
188,33.25,-6.25
189,33.75,-6.25
190,34.25,-6.25
191,37.25,-6.25
192,37.75,-6.25
193,38.25,-6.25
194,38.75,-6.25
195,39.25,-6.25
196,39.75,-6.25
197,40.25,-6.25
198,40.75,-6.25
199,41.25,-6.25
200,41.75,-6.25
201,42.25,-6.25
202,42.75,-6.25
203,43.25,-6.25
204,52.75,-6.25
205,53.25,-6.25
206,53.75,-6.25
207,54.25,-6.25
208,54.75,-6.25
209,55.25,-6.25
210,28.75,-5.75
211,29.25,-5.75
212,29.75,-5.75
213,30.25,-5.75
214,30.75,-5.75
215,31.25,-5.75
216,31.75,-5.75
217,32.25,-5.75
218,32.75,-5.75
219,33.25,-5.75
220,33.75,-5.75
221,34.25,-5.75
222,34.75,-5.75
223,35.25,-5.75
224,36.75,-5.75
225,37.25,-5.75
226,37.75,-5.75
227,38.25,-5.75
228,38.75,-5.75
229,39.25,-5.75
230,39.75,-5.75
231,40.25,-5.75
232,40.75,-5.75
233,41.25,-5.75
234,41.75,-5.75
235,42.25,-5.75
236,42.75,-5.75
237,43.25,-5.75
238,54.25,-5.75
239,54.75,-5.75
240,56.75,-5.75
241,28.75,-5.25
242,29.25,-5.25
243,29.75,-5.25
244,30.25,-5.25
245,30.75,-5.25
246,31.25,-5.25
247,31.75,-5.25
248,32.25,-5.25
249,32.75,-5.25
250,33.25,-5.25
251,33.75,-5.25
252,34.25,-5.25
253,34.75,-5.25
254,35.25,-5.25
255,36.25,-5.25
256,36.75,-5.25
257,37.25,-5.25
258,37.75,-5.25
259,38.25,-5.25
260,38.75,-5.25
261,39.25,-5.25
262,39.75,-5.25
263,40.25,-5.25
264,40.75,-5.25
265,41.25,-5.25
266,41.75,-5.25
267,42.25,-5.25
268,42.75,-5.25
269,43.25,-5.25
270,50.25,-5.25
271,55.75,-5.25
272,56.25,-5.25
273,56.75,-5.25
274,57.25,-5.25
275,28.75,-4.75
276,29.25,-4.75
277,29.75,-4.75
278,30.25,-4.75
279,30.75,-4.75
280,31.25,-4.75
281,31.75,-4.75
282,32.25,-4.75
283,32.75,-4.75
284,33.25,-4.75
285,33.75,-4.75
286,34.25,-4.75
287,34.75,-4.75
288,35.25,-4.75
289,36.75,-4.75
290,37.25,-4.75
291,37.75,-4.75
292,38.25,-4.75
293,38.75,-4.75
294,39.25,-4.75
295,39.75,-4.75
296,40.25,-4.75
297,40.75,-4.75
298,41.25,-4.75
299,41.75,-4.75
300,42.25,-4.75
301,42.75,-4.75
302,43.25,-4.75
303,50.25,-4.75
304,56.25,-4.75
305,56.75,-4.75
306,57.25,-4.75
307,57.75,-4.75
308,58.25,-4.75
309,29.25,-4.25
310,29.75,-4.25
311,30.25,-4.25
312,30.75,-4.25
313,31.25,-4.25
314,31.75,-4.25
315,32.25,-4.25
316,32.75,-4.25
317,33.25,-4.25
318,33.75,-4.25
319,34.25,-4.25
320,34.75,-4.25
321,35.25,-4.25
322,36.75,-4.25
323,37.25,-4.25
324,37.75,-4.25
325,38.25,-4.25
326,38.75,-4.25
327,39.25,-4.25
328,39.75,-4.25
329,40.25,-4.25
330,40.75,-4.25
331,41.25,-4.25
332,41.75,-4.25
333,42.25,-4.25
334,42.75,-4.25
335,43.25,-4.25
336,48.25,-4.25
337,50.75,-4.25
338,52.25,-4.25
339,55.25,-4.25
340,55.75,-4.25
341,56.75,-4.25
