ID,LATITUDE,LONGITUDE
1,63.25,-170.25
2,65.75,-167.25
3,53.75,-166.75
4,65.25,-166.75
5,65.75,-166.75
6,60.25,-166.25
7,64.75,-166.25
8,65.25,-166.25
9,65.75,-166.25
10,61.75,-165.75
11,64.75,-165.75
12,65.25,-165.75
13,65.75,-165.75
14,66.25,-165.75
15,68.25,-165.75
16,68.75,-165.75
17,61.25,-165.25
18,61.75,-165.25
19,62.25,-165.25
20,64.75,-165.25
21,65.25,-165.25
22,65.75,-165.25
23,66.25,-165.25
24,68.25,-165.25
25,68.75,-165.25
26,60.25,-164.75
27,60.75,-164.75
28,61.25,-164.75
29,61.75,-164.75
30,62.25,-164.75
31,62.75,-164.75
32,64.75,-164.75
33,65.25,-164.75
34,65.75,-164.75
35,66.25,-164.75
36,68.25,-164.75
37,68.75,-164.75
38,54.75,-164.25
39,60.25,-164.25
40,60.75,-164.25
41,61.25,-164.25
42,61.75,-164.25
43,62.25,-164.25
44,62.75,-164.25
45,64.75,-164.25
46,65.25,-164.25
47,65.75,-164.25
48,66.25,-164.25
49,67.75,-164.25
50,68.25,-164.25
51,68.75,-164.25
52,54.75,-163.75
53,60.25,-163.75
54,60.75,-163.75
55,61.25,-163.75
56,61.75,-163.75
57,62.25,-163.75
58,62.75,-163.75
59,64.75,-163.75
60,65.25,-163.75
61,65.75,-163.75
62,67.25,-163.75
63,67.75,-163.75
64,68.25,-163.75
65,68.75,-163.75
66,60.25,-163.25
67,60.75,-163.25
68,61.25,-163.25
69,61.75,-163.25
70,62.25,-163.25
71,62.75,-163.25
72,64.75,-163.25
73,65.25,-163.25
74,65.75,-163.25
75,67.25,-163.25
76,67.75,-163.25
77,68.25,-163.25
78,68.75,-163.25
79,69.25,-163.25
80,60.25,-162.75
81,60.75,-162.75
82,61.25,-162.75
83,61.75,-162.75
84,62.25,-162.75
85,62.75,-162.75
86,64.75,-162.75
87,65.25,-162.75
88,65.75,-162.75
89,67.25,-162.75
90,67.75,-162.75
91,68.25,-162.75
92,68.75,-162.75
93,69.25,-162.75
94,69.75,-162.75
95,55.25,-162.25
96,60.25,-162.25
97,60.75,-162.25
98,61.25,-162.25
99,61.75,-162.25
100,62.25,-162.25
101,62.75,-162.25
102,63.25,-162.25
103,64.75,-162.25
104,65.25,-162.25
105,65.75,-162.25
106,67.25,-162.25
107,67.75,-162.25
108,68.25,-162.25
109,68.75,-162.25
110,69.25,-162.25
111,69.75,-162.25
112,60.25,-161.75
113,60.75,-161.75
114,61.25,-161.75
115,61.75,-161.75
116,62.25,-161.75
117,62.75,-161.75
118,65.25,-161.75
119,65.75,-161.75
120,66.75,-161.75
121,67.25,-161.75
122,67.75,-161.75
123,68.25,-161.75
124,68.75,-161.75
125,69.25,-161.75
126,69.75,-161.75
127,70.25,-161.75
128,55.75,-161.25
129,59.25,-161.25
130,60.25,-161.25
131,60.75,-161.25
132,61.25,-161.25
133,61.75,-161.25
134,62.25,-161.25
135,62.75,-161.25
136,63.25,-161.25
137,64.75,-161.25
138,65.25,-161.25
139,65.75,-161.25
140,66.25,-161.25
141,66.75,-161.25
142,67.25,-161.25
143,67.75,-161.25
144,68.25,-161.25
145,68.75,-161.25
146,69.25,-161.25
147,69.75,-161.25
148,70.25,-161.25
149,58.75,-160.75
